3,1
5,1
5,3
3,3
1,3
1,5
3,5
3,7
5,7
5,5
7,5
7,7
7,9
9,9
9,7
11,7
11,9
13,9
13,11
11,11
9,11
7,11
7,13
5,13
5,15
7,15
9,15
9,17
7,17
7,19
9,19
11,19
11,17
13,17
13,19
15,19
15,17
15,15
17,15
19,15
19,17
17,17
17,19
19,19
19,13
17,13
17,11
15,11
15,13
13,13
13,15
11,15
11,13
9,13
15,9
17,9
19,9
19,11
19,7
17,7
15,7
13,7
13,5
13,3
15,3
17,3
17,1
19,1
19,3
19,5
17,5
15,5
15,1
13,1
11,1
11,3
11,5
9,5
9,3
7,3
7,1
9,1
5,19
5,17
3,17
1,17
1,19
3,19
1,15
3,15
3,13
3,11
3,9
1,9
1,7
1,11
1,13
5,9
5,11
19,19
